127.0.0.1 - - [07/May/2022:08:15:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/May/2022:08:18:47 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [07/May/2022:08:18:47 +0530] "GET /CustomerDemo/images/facebook1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:08:18:47 +0530] "GET /CustomerDemo/images/instagram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:08:18:47 +0530] "GET /CustomerDemo/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:08:18:47 +0530] "GET /CustomerDemo/images/image1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:08:18:47 +0530] "GET /CustomerDemo/images/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:08:18:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/May/2022:08:19:35 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [07/May/2022:08:19:50 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [07/May/2022:08:19:57 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [07/May/2022:08:20:26 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [07/May/2022:08:20:40 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [07/May/2022:08:20:48 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [07/May/2022:08:20:58 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [07/May/2022:08:21:09 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [07/May/2022:08:47:22 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4097
0:0:0:0:0:0:0:1 - - [07/May/2022:08:49:54 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4311
0:0:0:0:0:0:0:1 - - [07/May/2022:08:50:49 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4816
0:0:0:0:0:0:0:1 - - [07/May/2022:08:52:29 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [07/May/2022:08:52:47 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4816
0:0:0:0:0:0:0:1 - - [07/May/2022:08:53:52 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [07/May/2022:08:54:43 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [07/May/2022:08:57:32 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [07/May/2022:08:57:33 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:08:57:49 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:08:57:50 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:08:58:20 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [07/May/2022:08:58:21 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:08:58:42 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [07/May/2022:08:58:42 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:09:00:26 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4999
0:0:0:0:0:0:0:1 - - [07/May/2022:09:01:44 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [07/May/2022:09:02:09 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4824
0:0:0:0:0:0:0:1 - - [07/May/2022:09:02:32 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [07/May/2022:09:02:59 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [07/May/2022:09:02:59 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:09:03:19 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [07/May/2022:09:03:19 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:09:04:41 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4837
0:0:0:0:0:0:0:1 - - [07/May/2022:09:06:21 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:09:06:32 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4837
0:0:0:0:0:0:0:1 - - [07/May/2022:09:06:51 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4851
0:0:0:0:0:0:0:1 - - [07/May/2022:09:07:19 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [07/May/2022:09:07:19 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:09:07:46 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [07/May/2022:09:07:46 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:09:08:05 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4851
0:0:0:0:0:0:0:1 - - [07/May/2022:09:08:38 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4837
0:0:0:0:0:0:0:1 - - [07/May/2022:09:08:52 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4837
0:0:0:0:0:0:0:1 - - [07/May/2022:09:09:37 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [07/May/2022:09:10:16 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [07/May/2022:09:10:16 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:09:10:38 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [07/May/2022:09:10:38 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:09:10:53 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [07/May/2022:09:10:53 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:09:11:22 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [07/May/2022:09:11:22 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:09:12:04 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [07/May/2022:09:12:04 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:09:12:06 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:09:12:06 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:09:12:25 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [07/May/2022:09:12:25 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:09:13:38 +0530] "GET /CustomerDemo/dropdown.html HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [07/May/2022:09:13:38 +0530] "GET /CustomerDemo/Image/home.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [07/May/2022:09:15:36 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:09:16:05 +0530] "GET /CustomerDemo/login.jsp HTTP/1.1" 200 5341
0:0:0:0:0:0:0:1 - - [07/May/2022:09:16:21 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:09:23:08 +0530] "GET /CustomerDemo/login.jsp HTTP/1.1" 200 5341
0:0:0:0:0:0:0:1 - - [07/May/2022:09:23:21 +0530] "GET /CustomerDemo/adminlogin.jsp HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [07/May/2022:09:23:34 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [07/May/2022:09:25:31 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3611
